Localização;Beira Leito?;Nº do Carrinho;Cadeado;Andar;Prédio;Usuário conectado;Hostname;Patrimônio;IP;Serial Number CPU;Nome de SO;Os Release;Fabricante;Modelo;Tipo de chassi;Monitor 1;Modelo 1;Patrimônio 1;Monitor 2;Modelo 2;Patrimônio 2;Monitor 3;Modelo 3;Patrimônio 3;Webcam;Headset;DATA;Última atualização por
Sala Administrativa - Frente ao Elevador;;;;4;Principal;ACSC\lorraina.martins;HSI2676N219304;219304;10.30.53.241;GH16K34;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;Latitude 3440;laptop;;;;;;;;;;Não;Não;22/08/2025;Guilherme Flores
Sala de Reunião - R2;;;;1;Lavanderia;ACSC\t084547.t2;HSI2655D230253;230253;10.30.27.39;3QTVSB4;Microsoft Windows 11 Pro x64;25H2;Dell Inc.;OptiPlex SFF 7020;desktop;AOC;E2023P;FURB;;;;;;;Não;Não;27/10/2025;Guilherme Flores
Sala de Reuniões R1;;;;1;Principal;ACSC\gilson.bonelli;HSI2607D219265;219265;10.30.26.125;F04W5T3;Microsoft Windows 11 Pro x64;22H2;Dell Inc.;OptiPlex 3000;desktop;;;;;;;;;;Sim;Não;20/08/2025;Guilherme Flores
Sala de Treinamento - Aurea;;;;3;Lavanderia;ACSC\marcia.fidauza;HSI2655D158855;158855;10.30.1.2;6WZ1SP2;Microsoft Windows 11 Pro x64;22H2;Dell Inc.;OptiPlex 3050;desktop;DELL;P2016;158781;;;;;;;;;;?
Sala de Treinamento - Dora;;;;3;Lavanderia;ACSC\luciane.pereira;HSI2655D173458;173458;10.30.26.138;2JM44W2;Microsoft Windows 11 Pro x64;24H2;Dell Inc.;OptiPlex 3060;desktop;TV;;;;;;;;;Não;Não;25/09/2025;Guilherme Flores
Sala de Treinamento - Gerencia Academica;;;;3;Lavanderia;ACSC\AK072035;HSI2655D173431;173431;10.30.26.16;2JV24W2;Microsoft Windows 10 Pro x64;1809;Dell Inc.;OptiPlex 3060;desktop;Dell;E2222HS;183985;;;;;;;Não;Não;20/08/2025;Guilherme Flores
Sala dos Farmacêuticos;;;;1;Principal;ACSC\daniella.machado;HSI3323D182908;182908;10.30.27.73;11S8WF3;Microsoft Windows 10 Pro x64;21H1;Dell Inc.;OptiPlex 3080;desktop;Dell;P2018H;182889;;;;;;;Não;Não;09/07/2025;Guilherme Flores
Sala dos Farmacêuticos;;;;1;Principal;ACSC\ME123244;HSI2641D196851;196851;10.30.26.158;28KSCK2;Microsoft Windows 11 Pro x64;24H2;Dell Inc.;OptiPlex 3090;desktop;Dell;P2222HS;219185;;;;;;;Não;Não;30/10/2025;Guilherme Flores
Sala dos Farmacêuticos;;;;1;Principal;ACSC\GS101316;HSI2641D196821;196821;10.30.24.41;PGNNHQ3;Microsoft Windows 10 Pro x64;24H2;Dell Inc.;OptiPlex 3090;desktop;Dell;E2222HS;189642;;;;;;;Não;Não;26/09/2025;Guilherme Flores
Sala dos Farmacêuticos;;;;1;Principal;ACSC\VM110117;HSI2641D196846;196846;10.30.27.178;2F83LQ3;Microsoft Windows 10 Pro x64;21H2;Dell Inc.;OptiPlex 3090;desktop;Dell;P2222HS;183992;;;;;;;Não;Não;09/07/2025;Guilherme Flores
Sala dos Farmacêuticos;;;;1;Principal;ACSC\raquel.oliveira;HSI2641D196842;196842;10.30.24.74;HD83LQ3;Microsoft Windows 11 Pro x64;24H2;Dell Inc.;OptiPlex 3090;desktop;Dell;P2016;149940;;;;;;;Não;Não;26/09/2025;Guilherme Flores
Same;;;;0;Manutenção;ACSC\kelvin.diniz;HSI2640D219341;219341;10.30.26.48;7966K34;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;OptiPlex SFF 7010;desktop;Dell;E2222HS;189621;;;;;;;Não;Não;20/08/2025;Guilherme Flores
Same;;;;0;Manutenção;ACSC\rubens.andrade;HSI2640D219376;219376;10.30.24.193;HD66K34;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;OptiPlex SFF 7010;desktop;Dell;E2222HS;189656;;;;;;;Não;Sim;20/08/2025;Guilherme Flores
Same;;;;0;Manutenção;ACSC\DJ552495;HSI2640D219369;219369;10.30.26.99;HF66K34;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;OptiPlex SFF 7010;desktop;Dell;E2222HS;189647;;;;;;;Não;Não;20/08/2025;Guilherme Flores
Santa Isabel - VIP;;;;5;Principal;ACSC\hayslan.boemer;HSI2681D230266;230266;10.30.27.252;DJX53Y3;Microsoft Windows 11 Pro x64;24H2;Dell Inc.;;desktop;DELL;P2222H;219443;;;;;;;Não;Não;16/08/2025;Guilherme Flores
Santa Isabel - VIP;;;;5;Principal;ACSC\KS032332;HSI2681D219399;219399;10.30.24.97;BH66K34;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;OptiPlex SFF 7010;desktop;DELL;P2222H;219411;;;;;;;Não;Não;06/07/2025;Guilherme Flores
UTI ;Beira Leito Nº 45;;;2;Principal;ACSC\glaucia.bordignon;HSI3712N189535;189535;10.30.53.245;2YM53Y3;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;Latitude 3420;laptop;;;;;;;;;;Não;Não;08/07/2025;Guilherme Flores
Santa Luzia;Beira Leito Nº 46;;;6;Principal;ACSC\JF013372;HSI3712N189545;;10.30.52.175;8YM53Y3;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;Latitude 3420;laptop;;;;;;;;;;Não;Não;06/07/2025;Guilherme Flores
Santa Isabel - VIP (Máquina de Crise);;;;5;Principal;ACSC\geilza.leal;HSI2681D230283;230283;10.30.27.253;9PTVSB4;Microsoft Windows 11 Pro x64;24H2;Dell Inc.;;desktop;DELL;P2222H;219417;;;;;;;Não;Não;16/08/2025;Guilherme Flores
Santa Luzia;;;;6;Principal;ACSC\rl037466;HSI2676D230263;230263;10.30.27.165;3PTVSB4;Microsoft Windows 11 Pro x64;24H2;Dell Inc.;OptiPlex 7020;desktop;DELL;E2222HS;196813;;;;;;;Não;Não;24/08/2025;Guilherme Flores
Santa Luzia;;;;6;Principal;ACSC\gabriela.dalposso;HSI2676D230260;230260;10.30.27.163;5PTVSB4;Microsoft Windows 11 Pro x64;24H2;Dell Inc.;OptiPlex 7020;desktop;DELL;E2222HS;196810;;;;;;;Não;Não;23/08/2025;Guilherme Flores
